COMP,LOC,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SumOfLoC+,MaxOfLoC+,SumOfLoC-,MaxOfLoC-,Max_Set,Avg_Set,No_Rev,Sum_Churn,Max_Churn,Age,Age2,CountOfDeveloper,Ref,PRE_BUG,POST_BUG
org.apache.tools.ant.taskdefs.XSLTLoggerAware.java,1,1,1,0,3,1,0,2,1,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,105.85,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.Recorder.java,214,9,3,0,9,34,10,0,9,7,0.729166667,1,0,0.840909091,0.3125,1,1,22.11111111,1.666666667,6,0,0,0,0,0,0,0,0,0,141.14,0,0,0,FALSE,FALSE
org.apache.tools.ant.util.facade.ImplementationSpecificArgument.java,25,3,3,2,6,6,1,5,1,3,0.5,1,0,0.882352941,0.833333333,1,1,7,1.666666667,3,0,0,0,0,0,0,0,0,0,87.42,0,0,0,FALSE,FALSE
org.apache.tools.bzip2.CRC.java,1082,7,1,0,2,8,0,2,0,1,0.5,0,0,0,0.666666667,0,0,153.2857143,1.142857143,2,0,0,0,0,0,0,0,0,0,108.85,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.MethodRefCPInfo.java,110,7,0,0,4,21,3,2,4,7,0.666666667,1,0,0,0.428571429,0,0,14,1.142857143,2,0,0,0,0,0,0,0,0,0,163.71,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.sitraka.Socket.java,37,4,1,0,1,10,0,1,0,4,0.333333333,1,0,0,0.5,0,0,7.75,1,1,0,0,0,0,0,0,0,0,0,124.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.optional.image.Ellipse.java,141,4,0,0,6,22,0,1,5,4,0.333333333,1,0,0,0.75,0,0,33.75,2.25,6,0,0,0,0,0,0,0,0,0,72.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.optional.image.Text.java,163,8,0,0,5,27,6,2,4,8,0.761904762,1,0,0,0.583333333,0,0,18.625,1,1,0,0,0,0,0,0,0,0,0,72.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.sitraka.bytecode.ClassFile.java,215,7,1,0,12,28,13,6,6,7,0.75,1,1,0,0.571428571,0,0,29.14285714,1.285714286,2,0,0,0,0,0,0,0,0,0,124.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.util.PackageNameMapper.java,20,2,2,0,1,6,1,0,1,1,2,0,0,0.875,0.75,1,1,9,1,1,0,0,0,0,0,0,0,0,0,102.71,0,0,0,FALSE,FALSE
